Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
finally,7,0.5357142857142857,0.23416146533120613,2,2025-10-13,2025-10-20,0.1894036021035395,-0.1894036021035395
viralvideo,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
halloweenmakeup,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
shortsfeed,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
tiktok makeup,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
classic,6,0.5357142857142857,0.034316599206396396,2,2025-10-13,2025-10-20,0.20248096768351456,-0.20248096768351456
tiktok makeup trend,5,0.5357142857142857,0.14381080871160368,1,2025-10-20,2025-10-20,0.21870444131992664,-0.21870444131992664
build,7,0.5357142857142857,0.23416146533120613,2,2025-10-13,2025-10-20,0.1894036021035395,-0.1894036021035395
going,11,0.5357142857142857,0.24946982010723134,3,2025-09-08,2025-10-20,0.15464739353293547,-0.15464739353293547
balance,7,0.5357142857142857,0.23416146533120613,2,2025-10-13,2025-10-20,0.1894036021035395,-0.1894036021035395
dreams,6,0.5,0.08855680204602329,2,2025-10-13,2025-10-20,0.1889822365046136,-0.1889822365046136
peace,6,0.5,0.08855680204602329,2,2025-10-13,2025-10-20,0.1889822365046136,-0.1889822365046136
major,6,0.5,0.08855680204602329,2,2025-10-13,2025-10-20,0.1889822365046136,-0.1889822365046136
mind,6,0.5,0.08855680204602329,2,2025-10-13,2025-10-20,0.1889822365046136,-0.1889822365046136
remind,6,0.5,0.08855680204602329,2,2025-10-13,2025-10-20,0.1889822365046136,-0.1889822365046136
used,7,0.5,0.36321746764912255,1,2025-10-13,2025-10-13,0.17677669529663687,-0.17677669529663687
college,5,0.5,0.06693300214386119,2,2025-10-13,2025-10-20,0.20412414523193154,-0.20412414523193154
craving,7,0.5,0.36321746764912255,1,2025-10-13,2025-10-13,0.17677669529663687,-0.17677669529663687
comes,6,0.5,0.08855680204602329,2,2025-10-13,2025-10-20,0.1889822365046136,-0.1889822365046136
lifestyle,5,0.5,0.06693300214386119,2,2025-10-13,2025-10-20,0.20412414523193154,-0.20412414523193154
emotional,6,0.4642857142857143,0.2129443764776025,2,2025-10-13,2025-10-20,0.17548350532571264,-0.17548350532571264
hottest,9,0.4642857142857143,0.22034791201428758,3,2025-09-15,2025-10-20,0.14682003422210332,-0.14682003422210332
turning,6,0.4642857142857143,0.2129443764776025,2,2025-10-13,2025-10-20,0.17548350532571264,-0.17548350532571264
instead,6,0.4642857142857143,0.2129443764776025,2,2025-10-13,2025-10-20,0.17548350532571264,-0.17548350532571264
cards,6,0.4642857142857143,0.2129443764776025,2,2025-10-13,2025-10-20,0.17548350532571264,-0.17548350532571264
moves,5,0.46428571428571425,0.030714729184636674,2,2025-10-13,2025-10-20,0.1895438491439364,-0.1895438491439364
light,5,0.46428571428571425,0.030714729184636674,2,2025-10-13,2025-10-20,0.1895438491439364,-0.1895438491439364
youtuber,5,0.46428571428571425,0.030714729184636674,2,2025-10-13,2025-10-20,0.1895438491439364,-0.1895438491439364
watch,7,0.46428571428571425,0.10914480552861684,3,2025-10-06,2025-10-20,0.16414978848973422,-0.16414978848973422
music,5,0.46428571428571425,0.030714729184636674,2,2025-10-13,2025-10-20,0.1895438491439364,-0.1895438491439364
brings,5,0.46428571428571425,0.030714729184636674,2,2025-10-13,2025-10-20,0.1895438491439364,-0.1895438491439364
book,7,0.46428571428571425,0.10914480552861684,3,2025-10-06,2025-10-20,0.16414978848973422,-0.16414978848973422
routine,9,0.46428571428571425,0.16455005498564815,3,2025-09-29,2025-10-20,0.1468200342221033,-0.1468200342221033
embrace,5,0.46428571428571425,0.030714729184636674,2,2025-10-13,2025-10-20,0.1895438491439364,-0.1895438491439364
feeling,5,0.46428571428571425,0.030714729184636674,2,2025-10-13,2025-10-20,0.1895438491439364,-0.1895438491439364
power,10,0.4642857142857142,0.24823276673026676,3,2025-09-08,2025-10-20,0.1399874099825331,-0.1399874099825331
trends spring according,6,0.4285714285714286,0.36321746764912255,1,2025-10-13,2025-10-13,0.16198477414681167,-0.16198477414681167
