Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
polish,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
true,10,1.0714285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.323047869190461,-0.323047869190461,0.323047869190461
long,11,1.107142857142857,0.07271644582219843,2,2025-11-17,2025-11-24,0.31960461330139994,-0.31960461330139994,0.31960461330139994
blood face,12,1.1428571428571428,0.03674259800515242,2,2025-11-17,2025-11-24,0.31697154070013095,-0.31697154070013095,0.31697154070013095
cosmopolitan,16,1.2857142857142856,0.02127630356677182,3,2025-11-03,2025-11-24,0.31183151790385666,-0.31183151790385666,0.31183151790385666
big,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
editors,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
glow,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
make,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
need,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
purchase,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
save,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
scents,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
sets,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
smell,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
throw,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
warm,9,0.9642857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.30493391723052227,-0.30493391723052227,0.30493391723052227
light,10,1.0,0.06693300214386119,2,2025-11-17,2025-11-24,0.30151134457776363,-0.30151134457776363,0.30151134457776363
period blood face,10,1.0,0.06693300214386119,2,2025-11-17,2025-11-24,0.30151134457776363,-0.30151134457776363,0.30151134457776363
ahead,11,1.0357142857142856,0.03322117027780463,2,2025-11-17,2025-11-24,0.2989849608303419,-0.2989849608303419,0.2989849608303419
glam,11,1.0357142857142856,0.10240371820756713,2,2025-11-10,2025-11-24,0.2989849608303419,-0.2989849608303419,0.2989849608303419
making,13,1.107142857142857,0.16918666018813547,2,2025-10-27,2025-11-24,0.2958963749744698,-0.2958963749744698,0.2958963749744698
new york,17,1.25,0.04732436056080308,3,2025-10-27,2025-11-24,0.2946278254943948,-0.2946278254943948,0.2946278254943948
york,17,1.25,0.04732436056080308,3,2025-10-27,2025-11-24,0.2946278254943948,-0.2946278254943948,0.2946278254943948
base,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
bridal,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
case,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
chic,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
comes,8,0.8571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.2857142857142857,-0.2857142857142857,0.2857142857142857
